table_field,nonnull_count,schema,table,field
AllWQ_CrossTab_NDs_Working.TCat,1115,dbo,AllWQ_CrossTab_NDs_Working,TCat
AllWQ_CrossTab_NDs_Working.TDS,3345,dbo,AllWQ_CrossTab_NDs_Working,TDS
AllWQ_CrossTab_NDs_Working.Th,1181,dbo,AllWQ_CrossTab_NDs_Working,Th
AllWQ_CrossTab_NDs_Working.Ti,939,dbo,AllWQ_CrossTab_NDs_Working,Ti
AllWQ_CrossTab_NDs_Working.Tl,1212,dbo,AllWQ_CrossTab_NDs_Working,Tl
AllWQ_CrossTab_NDs_Working.U,1706,dbo,AllWQ_CrossTab_NDs_Working,U
AllWQ_CrossTab_NDs_Working.V,1757,dbo,AllWQ_CrossTab_NDs_Working,V
AllWQ_CrossTab_NDs_Working.Zn,2090,dbo,AllWQ_CrossTab_NDs_Working,Zn
AllWQ_CrossTab_NDs_Working_bak.OBJECTID,5559,dbo,AllWQ_CrossTab_NDs_Working_bak,OBJECTID
AllWQ_CrossTab_NDs_Working_bak.SamplePtID,5559,dbo,AllWQ_CrossTab_NDs_Working_bak,SamplePtID
AllWQ_CrossTab_NDs_Working_bak.PointID,5559,dbo,AllWQ_CrossTab_NDs_Working_bak,PointID
AllWQ_CrossTab_NDs_Working_bak.SiteNames,4170,dbo,AllWQ_CrossTab_NDs_Working_bak,SiteNames
AllWQ_CrossTab_NDs_Working_bak.Easting,5559,dbo,AllWQ_CrossTab_NDs_Working_bak,Easting
AllWQ_CrossTab_NDs_Working_bak.Northing,5559,dbo,AllWQ_CrossTab_NDs_Working_bak,Northing
AllWQ_CrossTab_NDs_Working_bak.DataReliability,5559,dbo,AllWQ_CrossTab_NDs_Working_bak,DataReliability
AllWQ_CrossTab_NDs_Working_bak.SamplePointID,5559,dbo,AllWQ_CrossTab_NDs_Working_bak,SamplePointID
AllWQ_CrossTab_NDs_Working_bak.StudySample,2739,dbo,AllWQ_CrossTab_NDs_Working_bak,StudySample
AllWQ_CrossTab_NDs_Working_bak.WaterType,205,dbo,AllWQ_CrossTab_NDs_Working_bak,WaterType
AllWQ_CrossTab_NDs_Working_bak.SampleType,5558,dbo,AllWQ_CrossTab_NDs_Working_bak,SampleType
AllWQ_CrossTab_NDs_Working_bak.Altitude,5557,dbo,AllWQ_CrossTab_NDs_Working_bak,Altitude
AllWQ_CrossTab_NDs_Working_bak.AquiferType,500,dbo,AllWQ_CrossTab_NDs_Working_bak,AquiferType
AllWQ_CrossTab_NDs_Working_bak.AqClass,376,dbo,AllWQ_CrossTab_NDs_Working_bak,AqClass
AllWQ_CrossTab_NDs_Working_bak.WellDepth,3472,dbo,AllWQ_CrossTab_NDs_Working_bak,WellDepth
AllWQ_CrossTab_NDs_Working_bak.FormationZone,3003,dbo,AllWQ_CrossTab_NDs_Working_bak,FormationZone
AllWQ_CrossTab_NDs_Working_bak.CollectionDate,5559,dbo,AllWQ_CrossTab_NDs_Working_bak,CollectionDate
AllWQ_CrossTab_NDs_Working_bak.SiteType,5559,dbo,AllWQ_CrossTab_NDs_Working_bak,SiteType
AllWQ_CrossTab_NDs_Working_bak.CountOfSamplePointID,5559,dbo,AllWQ_CrossTab_NDs_Working_bak,CountOfSamplePointID
AllWQ_CrossTab_NDs_Working_bak.CollectedBy,5434,dbo,AllWQ_CrossTab_NDs_Working_bak,CollectedBy
AllWQ_CrossTab_NDs_Working_bak.DataSource,5352,dbo,AllWQ_CrossTab_NDs_Working_bak,DataSource
AllWQ_CrossTab_NDs_Working_bak.DataQuality,5559,dbo,AllWQ_CrossTab_NDs_Working_bak,DataQuality
AllWQ_CrossTab_NDs_Working_bak.OH,1,dbo,AllWQ_CrossTab_NDs_Working_bak,OH
AllWQ_CrossTab_NDs_Working_bak.Mg_Total,421,dbo,AllWQ_CrossTab_NDs_Working_bak,Mg_Total
AllWQ_CrossTab_NDs_Working_bak.C14_corrected,3,dbo,AllWQ_CrossTab_NDs_Working_bak,C14_corrected
AllWQ_CrossTab_NDs_Working_bak.H2r,1980,dbo,AllWQ_CrossTab_NDs_Working_bak,H2r
AllWQ_CrossTab_NDs_Working_bak.F,3481,dbo,AllWQ_CrossTab_NDs_Working_bak,F
AllWQ_CrossTab_NDs_Working_bak.CFC113_12,50,dbo,AllWQ_CrossTab_NDs_Working_bak,CFC113_12
AllWQ_CrossTab_NDs_Working_bak.O18r,1999,dbo,AllWQ_CrossTab_NDs_Working_bak,O18r
AllWQ_CrossTab_NDs_Working_bak.TKN,24,dbo,AllWQ_CrossTab_NDs_Working_bak,TKN
AllWQ_CrossTab_NDs_Working_bak.Cr_Total,446,dbo,AllWQ_CrossTab_NDs_Working_bak,Cr_Total
AllWQ_CrossTab_NDs_Working_bak.Mn_Total,482,dbo,AllWQ_CrossTab_NDs_Working_bak,Mn_Total
AllWQ_CrossTab_NDs_Working_bak.PO4,1296,dbo,AllWQ_CrossTab_NDs_Working_bak,PO4
AllWQ_CrossTab_NDs_Working_bak.CFC11,71,dbo,AllWQ_CrossTab_NDs_Working_bak,CFC11
AllWQ_CrossTab_NDs_Working_bak.IONBAL,1324,dbo,AllWQ_CrossTab_NDs_Working_bak,IONBAL
AllWQ_CrossTab_NDs_Working_bak.C14,473,dbo,AllWQ_CrossTab_NDs_Working_bak,C14
AllWQ_CrossTab_NDs_Working_bak.Si,949,dbo,AllWQ_CrossTab_NDs_Working_bak,Si
AllWQ_CrossTab_NDs_Working_bak.C13r,496,dbo,AllWQ_CrossTab_NDs_Working_bak,C13r
AllWQ_CrossTab_NDs_Working_bak.Mo,1826,dbo,AllWQ_CrossTab_NDs_Working_bak,Mo
AllWQ_CrossTab_NDs_Working_bak.Ca,3868,dbo,AllWQ_CrossTab_NDs_Working_bak,Ca
AllWQ_CrossTab_NDs_Working_bak.Ra226,44,dbo,AllWQ_CrossTab_NDs_Working_bak,Ra226
AllWQ_CrossTab_NDs_Working_bak.CF,1948,dbo,AllWQ_CrossTab_NDs_Working_bak,CF
AllWQ_CrossTab_NDs_Working_bak.Mn,2215,dbo,AllWQ_CrossTab_NDs_Working_bak,Mn
AllWQ_CrossTab_NDs_Working_bak.NaPlusK,1417,dbo,AllWQ_CrossTab_NDs_Working_bak,NaPlusK
AllWQ_CrossTab_NDs_Working_bak.AsIII,2,dbo,AllWQ_CrossTab_NDs_Working_bak,AsIII
AllWQ_CrossTab_NDs_Working_bak.H2S,12,dbo,AllWQ_CrossTab_NDs_Working_bak,H2S
AllWQ_CrossTab_NDs_Working_bak.Cu,2099,dbo,AllWQ_CrossTab_NDs_Working_bak,Cu
AllWQ_CrossTab_NDs_Working_bak.Ca_Total,421,dbo,AllWQ_CrossTab_NDs_Working_bak,Ca_Total
AllWQ_CrossTab_NDs_Working_bak.DO,1682,dbo,AllWQ_CrossTab_NDs_Working_bak,DO
AllWQ_CrossTab_NDs_Working_bak.Sn_Total,178,dbo,AllWQ_CrossTab_NDs_Working_bak,Sn_Total
AllWQ_CrossTab_NDs_Working_bak.TDS,3270,dbo,AllWQ_CrossTab_NDs_Working_bak,TDS
AllWQ_CrossTab_NDs_Working_bak.CN6,40,dbo,AllWQ_CrossTab_NDs_Working_bak,CN6
AllWQ_CrossTab_NDs_Working_bak.Fe_Total,482,dbo,AllWQ_CrossTab_NDs_Working_bak,Fe_Total
AllWQ_CrossTab_NDs_Working_bak.U235,1,dbo,AllWQ_CrossTab_NDs_Working_bak,U235
AllWQ_CrossTab_NDs_Working_bak.NO3,3140,dbo,AllWQ_CrossTab_NDs_Working_bak,NO3
AllWQ_CrossTab_NDs_Working_bak.Br,1792,dbo,AllWQ_CrossTab_NDs_Working_bak,Br
AllWQ_CrossTab_NDs_Working_bak.U,1655,dbo,AllWQ_CrossTab_NDs_Working_bak,U
AllWQ_CrossTab_NDs_Working_bak.NH4,0,dbo,AllWQ_CrossTab_NDs_Working_bak,NH4
AllWQ_CrossTab_NDs_Working_bak.Sr_Total,178,dbo,AllWQ_CrossTab_NDs_Working_bak,Sr_Total
AllWQ_CrossTab_NDs_Working_bak.Sr90,6,dbo,AllWQ_CrossTab_NDs_Working_bak,Sr90
AllWQ_CrossTab_NDs_Working_bak.Cd_Total,447,dbo,AllWQ_CrossTab_NDs_Working_bak,Cd_Total
AllWQ_CrossTab_NDs_Working_bak.Ni_Total,447,dbo,AllWQ_CrossTab_NDs_Working_bak,Ni_Total
AllWQ_CrossTab_NDs_Working_bak.Sb_Total,447,dbo,AllWQ_CrossTab_NDs_Working_bak,Sb_Total
