model|input_count|cleaned_count|transferred|issue_percentage
Well|38541|9887|9331|5.6235460705977545
PointID|Table|Field|Error
SA-0221|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0222|WellData|FormationZone|Unknown formation: 112QTBFppm/123SPRSDTMGlav
SA-0224|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0225|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0226|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0238|WellData|FormationZone|Unknown formation: 123SPRSlower
SA-0301|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0303|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0304|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0305|WellData|FormationZone|Unknown formation: 123DTMGrhydac
SA-0306|WellData|FormationZone|Unknown formation: 123DTMGrhydac
SA-0307|WellData|FormationZone|Unknown formation: 123DTMGrhydac
SA-0308|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0309|WellData|FormationZone|Unknown formation: 123SPRSmid_uppe
SA-0311|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0312|WellData|FormationZone|Unknown formation: 123DTMGandbas
SA-0313|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0315|WellData|FormationZone|Unknown formation: 112QTBFpd
SA-0316|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0317|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0318|WellData|FormationZone|Unknown formation: 123DTMGrhydac
SA-0320|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0321|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0322|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0323|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0335|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0337|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0338|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0339|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0340|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0341|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0342|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0343|WellData|FormationZone|Unknown formation: 112QTBFppm
SD-0029|WellData|FormationZone|Unknown formation: 325MDER/110ALVM
SD-0042|WellData|FormationZone|Unknown formation: 325MDER/050QUAL
SD-0049|WellData|FormationZone|Unknown formation: 325MDER/050QUAL
SD-0057|WellData|FormationZone|Unknown formation: 110ALVM/325MDER
SD-0077|WellData|FormationZone|Unknown formation: 325MDER/110ALVM
SD-0108|WellData|FormationZone|Unknown formation: 325MDER/110ALVM
SD-0120|WellData|FormationZone|Unknown formation: 110ALVM/400PREC
SD-0122|WellData|FormationZone|Unknown formation: 110ALVM/400PREC
SD-0132|WellData|FormationZone|Unknown formation: 231CHNL/231SNRS
SD-0138|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
SD-0143|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
SD-0225|WellData|FormationZone|Unknown formation: 050QUAL/325MDER
SD-0226|WellData|FormationZone|Unknown formation: 050QUAL/325MDER
SD-0229|WellData|FormationZone|Unknown formation: 050QUAL/325MDER
SD-0239|WellData|FormationZone|Unknown formation: 300YESO/110ALVM
SD-0255|WellData|FormationZone|Unknown formation: 110ALVM/231SNRS
SD-0262|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
SD-0263|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
SD-0264|WellData|FormationZone|Unknown formation: 231CHNL/221TDLT/220ENRD
SD-0267|WellData|FormationZone|Unknown formation: 313SADR/231SNRS
SD-0269|WellData|FormationZone|Unknown formation: 050QUAL/310ABO
SD-0280|WellData|FormationZone|Unknown formation: 231CHNL/110ALVM
SD-0283|WellData|FormationZone|Unknown formation: 231CHNL/221TDLT/220ENRD
SD-0284|WellData|FormationZone|Unknown formation: 221TDLT/220ENRD/231CHNL
SD-0298|WellData|FormationZone|Unknown formation: 050QUAL/310ABO
SD-0304|WellData|FormationZone|Unknown formation: 325MDER/050QUAL
SD-0308|WellData|FormationZone|Unknown formation: 325MDER/310ABO
SD-0310|WellData|FormationZone|Unknown formation: 325MDER/310ABO
SD-0312|WellData|FormationZone|Unknown formation: 110ALVM/211DKOT
SD-0328|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
SM-0007|WellData|FormationZone|Unknown formation: 260SNAN/300YESO
SM-0026|WellData|FormationZone|Unknown formation: 110ALVM/300YESO
SM-0070|WellData|FormationZone|Unknown formation: 260SNAN/300YESO
SM-0091|WellData|FormationZone|Unknown formation: 300YESO/310ABO
SM-0170|WellData|FormationZone|Unknown formation: 260SNAN_lower
SM-0172|WellData|FormationZone|Unknown formation: 300YESO_upper
