model|input_count|cleaned_count|transferred|issue_percentage
Well|38541|9887|9324|5.694346111054921
AR-0049|WellData|UnknownField|Validation Error: [{'type': 'value_error', 'loc': (), 'msg': 'Value error, well casing depth must be less than or equal to hole depth', 'input': {'location_id': 0, 'name': 'AR-0049', 'first_visit_date': datetime.date(2015, 8, 20), 'hole_depth': 49.0, 'well_depth': 49.0, 'well_casing_diameter': 6.959999999999999, 'well_casing_depth': 51.0, 'release_status': 'public', 'measuring_point_height': 0.13, 'measuring_point_description': 'TOC', 'notes': [], 'well_completion_date': '2002-03-03 00:00:00.000', 'well_driller_name': 'William Hargis', 'well_construction_method': 'Air-Rotary', 'well_pump_type': 'Submersible', 'is_suitable_for_datalogger': False}, 'ctx': {'error': ValueError('well casing depth must be less than or equal to hole depth')}, 'url': 'https://errors.pydantic.dev/2.11/v/value_error'}]
AR-0117|WellData|UnknownField|Validation Error: [{'type': 'float_type', 'loc': ('measuring_point_height',), 'msg': 'Input should be a valid number', 'input': None, 'url': 'https://errors.pydantic.dev/2.11/v/float_type'}]
AR-0119|WellData|UnknownField|Validation Error: [{'type': 'float_type', 'loc': ('measuring_point_height',), 'msg': 'Input should be a valid number', 'input': None, 'url': 'https://errors.pydantic.dev/2.11/v/float_type'}]
AR-0120|WellData|UnknownField|"Validation Error: [{'type': 'value_error', 'loc': (), 'msg': 'Value error, well casing depth must be less than or equal to hole depth', 'input': {'location_id': 0, 'name': 'AR-0120', 'first_visit_date': datetime.date(2015, 11, 9), 'hole_depth': 27.0, 'well_depth': 27.0, 'well_casing_diameter': 6.0, 'well_casing_depth': 29.0, 'release_status': 'public', 'measuring_point_height': 2.05, 'measuring_point_description': 'TOC; cap is split', 'notes': [{'content': 'Call for appointment. If Williams are not home, they can arrange to have someone there.', 'note_type': 'General'}], 'well_completion_date': '1995-06-02 00:00:00.000', 'well_driller_name': ""McDonald's Well Drilling"", 'well_construction_method': 'Cable-tool', 'well_pump_type': 'Submersible', 'is_suitable_for_datalogger': False}, 'ctx': {'error': ValueError('well casing depth must be less than or equal to hole depth')}, 'url': 'https://errors.pydantic.dev/2.11/v/value_error'}]"
AR-0121|WellData|UnknownField|Validation Error: [{'type': 'float_type', 'loc': ('measuring_point_height',), 'msg': 'Input should be a valid number', 'input': None, 'url': 'https://errors.pydantic.dev/2.11/v/float_type'}]
AR-0123|WellData|UnknownField|Validation Error: [{'type': 'float_type', 'loc': ('measuring_point_height',), 'msg': 'Input should be a valid number', 'input': None, 'url': 'https://errors.pydantic.dev/2.11/v/float_type'}]
AR-0125|WellData|UnknownField|Validation Error: [{'type': 'float_type', 'loc': ('measuring_point_height',), 'msg': 'Input should be a valid number', 'input': None, 'url': 'https://errors.pydantic.dev/2.11/v/float_type'}]
AR-0126|WellData|UnknownField|Validation Error: [{'type': 'float_type', 'loc': ('measuring_point_height',), 'msg': 'Input should be a valid number', 'input': None, 'url': 'https://errors.pydantic.dev/2.11/v/float_type'}]
AR-0127|WellData|UnknownField|Validation Error: [{'type': 'float_type', 'loc': ('measuring_point_height',), 'msg': 'Input should be a valid number', 'input': None, 'url': 'https://errors.pydantic.dev/2.11/v/float_type'}]
AR-0128|WellData|UnknownField|Validation Error: [{'type': 'float_type', 'loc': ('measuring_point_height',), 'msg': 'Input should be a valid number', 'input': None, 'url': 'https://errors.pydantic.dev/2.11/v/float_type'}]
